QSO_ID Z_EM Z_LLS TAU TAU_ERR LOG_NHI LOG_NHI_ERR_LOW LOG_NHI_ERR_HIGH SAMPLE INSTRUMENT
J1022+3041 1.318 0.435 0.41 0.08 16.82 0.1 0.07 PLLS STIS
J1022+3041 1.318 0.346 2.4 0.31 17.58 0.06 0.06 DLA STIS
J1024+1912 0.828 0.530 2.23 -99.0 17.55 -99.0 -99.0 R2 FOS-L
J1032+0003 1.19 1.105 2.72 -99.0 17.63 -99.0 -99.0 MgII STIS
J1037+0028 1.733 1.425 2.97 -99.0 17.67 -99.0 -99.0 MgII STIS
J1042+1203 1.028 0.661 0.57 0.13 16.96 0.11 0.09 PLLS FOS-L
B1047+5503 2.165 1.637 0.84 0.05 17.13 0.03 0.03 PLLS FOS-H
J1048+0032 1.649 1.194 2.61 -99.0 17.62 -99.0 -99.0 R1,R2 STIS
J1054-0020 1.021 0.952 1.61 -99.0 17.41 -99.0 -99.0 MgII STIS
J1058+1951 1.11 1.037 2.22 0.13 17.55 0.02 0.03 R1,R2 FOS-L
B1100-2629 2.145 1.838 5.42 -99.0 17.93 -99.0 -99.0 R1,R2 FOS-H
J1103+3715 1.295 1.246 2.15 -99.0 17.53 -99.0 -99.0 R1,R2 STIS
B1103+6416 2.19 1.892 1.81 0.03 17.46 0.0 0.01 IUE FOS-H
B1103+6416 2.19 0.976 0.34 0.07 16.73 0.1 0.09 IUE FOS-H
B1104-1805a 2.303 2.201 0.2 0.03 16.51 0.09 0.06 PLLS FOS-H
B1104-1805a 2.303 1.662 4.55 -99.0 17.86 -99.0 -99.0 DLA FOS-H
B1104-1805b 2.303 2.201 0.6 0.04 16.98 0.03 0.03 PLLS FOS-H
B1104-1805b 2.303 1.662 1.99 0.21 17.5 0.05 0.05 DLA FOS-H
J1107+0048 1.391 1.082 1.03 0.06 17.22 0.03 0.02 MgII STIS
J1108+3133 2.244 2.106 1.5 0.07 17.38 0.02 0.02 R1 STIS
J1108+3133 2.244 1.200 2.11 -99.0 17.52 -99.0 -99.0 R1,R2 STIS
J1110+3019 1.521 1.030 1.64 -99.0 17.41 -99.0 -99.0 DLA STIS
J1112+0013 1.433 1.423 2.53 -99.0 17.6 -99.0 -99.0 Prox STIS
J1125+5910 0.852 0.558 0.33 0.05 16.72 0.06 0.06 PLLS STIS
J1126+0034 1.783 1.793 3.49 -99.0 17.74 -99.0 -99.0 Prox STIS
J1143+3452 3.13 0.556 4.48 -99.0 17.85 -99.0 -99.0 R1,R2 STIS
J1150-0023 1.98 1.446 0.95 0.05 17.18 0.03 0.02 PLLS FOS-L
J1151+3825 1.304 0.548 1.69 0.12 17.43 0.03 0.03 MgII FOS-L
J1208+4540 1.158 0.928 0.79 0.06 17.1 0.04 0.03 PLLS FOS-L
J1218+1105 1.403 1.266 0.66 0.06 17.02 0.04 0.04 PLLS FOS-L
J1218+1105 1.403 1.110 0.74 0.08 17.07 0.04 0.05 PLLS FOS-L
J1220+3343 1.532 1.502 1.85 0.13 17.47 0.03 0.03 R1 STIS
