QSO_ID QSO_RA QSO_DEC Z_EM R1_ZMIN R1_ZMAX R2_ZMIN R2_ZMAX
J0741+3111 115.29450226 31.19993019 0.63 0.482 0.614 0.482 0.614
J0806+5041 121.58525085 50.69018173 2.432 1.101 2.398 1.079 2.398
J0830+2410 127.71708679 24.18317986 0.939 0.772 0.92 0.772 0.92
J0839+5256 129.96813965 52.94007874 1.545 0.328 0.882 0.328 0.882
J0845+1328 131.44696045 13.48289204 1.877 0.768 1.254 0.768 1.357
J0853+4349 133.39250183 43.81694412 0.513 -99.0 -99.0 0.495 0.498
J0859+4637 134.85133362 46.62149811 0.923 0.615 0.904 0.499 0.904
J0912+2450 138.07403564 24.84380531 0.654 0.262 0.637 0.259 0.637
J0919+5106 139.99041748 51.10277939 0.553 0.512 0.537 0.495 0.537
J0944+2554 146.17642212 25.91181374 2.91 2.235 2.456 2.235 2.456
J0948+4323 147.14967346 43.38389206 1.892 1.227 1.863 1.227 1.863
J0953-0038 148.34828186 -0.63433999 1.382 1.006 1.358 1.006 1.358
J0954+1743 148.73687744 17.72530365 1.478 0.502 1.453 0.502 1.453
J0958+3224 149.58746338 32.40065765 0.53 0.258 0.515 0.256 0.515
J1003+6813 150.77833557 68.2215271 0.773 0.705 0.755 0.505 0.755
J1008-0018 152.15548706 -0.30978 1.35 0.931 1.327 0.876 1.327
J1009+0036 152.43809509 0.60922998 1.702 1.031 1.675 0.959 1.675
J1009-0026 152.37675476 -0.43864 1.244 0.889 1.222 0.889 1.222
J1010+0003 152.57566833 0.06427 1.399 1.266 1.375 1.266 1.375
J1010+4132 152.61457825 41.54419327 0.613 0.495 0.597 0.495 0.597
J1010-0047 152.63916016 -0.79010999 1.671 1.328 1.644 1.328 1.644
J1011+1304 152.79499817 13.06999969 1.287 0.879 1.264 0.497 1.264
J1017+5356 154.42803955 53.94316483 1.4 1.296 1.376 1.296 1.376
J1022+0101 155.74906921 1.02311003 1.563 1.552 1.537 1.416 1.537
J1022+3041 155.62615967 30.68468285 1.318 0.345 0.882 0.31 0.882
J1024+1912 156.18708801 19.20544434 0.828 0.745 0.81 0.53 0.81
J1028-0100 157.15408325 -1.00774002 1.53 0.843 1.505 0.801 1.505
J1032+0003 158.16317749 0.06483 1.19 1.106 1.168 1.106 1.168
J1037+0028 159.43496704 0.46902999 1.733 1.425 1.706 1.425 1.706
J1038-2752 159.53514099 -27.87722015 2.168 0.833 1.028 0.825 1.259
