# z Dz sumDX nabs lx bmlxlci_68.3 bmlxhci_68.3 bmlxlci_95.0 bmlxhci_95.0 Omega bmOlci_68.3 bmOhci_68.3 bmOlci_95.0 bmOhci_95.0
2.990 0.695 4492 333 0.074 0.070 0.078 0.066 0.082 0.503 0.514 0.596 0.480 0.646
3.000 0.694 4451 336 0.075 0.071 0.080 0.068 0.084 0.510 0.521 0.605 0.488 0.654
3.010 0.692 4387 335 0.076 0.072 0.081 0.068 0.085 0.519 0.529 0.616 0.493 0.669
3.020 0.691 4354 339 0.078 0.074 0.082 0.070 0.086 0.532 0.543 0.629 0.508 0.684
3.030 0.691 4332 339 0.078 0.074 0.082 0.070 0.087 0.534 0.544 0.631 0.508 0.681
3.040 0.689 4266 336 0.079 0.074 0.083 0.071 0.087 0.539 0.548 0.638 0.512 0.689
3.050 0.688 4207 332 0.079 0.075 0.083 0.071 0.088 0.543 0.553 0.642 0.516 0.694
3.060 0.688 4184 332 0.079 0.075 0.084 0.071 0.088 0.545 0.553 0.645 0.518 0.697
3.070 0.686 4118 330 0.080 0.076 0.085 0.072 0.089 0.548 0.557 0.648 0.522 0.700
3.080 0.686 4107 331 0.081 0.076 0.085 0.072 0.089 0.551 0.560 0.652 0.525 0.705
3.090 0.684 4019 322 0.080 0.076 0.085 0.072 0.089 0.546 0.556 0.646 0.521 0.699
3.100 0.684 3990 323 0.081 0.076 0.085 0.072 0.090 0.551 0.562 0.651 0.525 0.706
3.110 0.683 3962 321 0.081 0.077 0.086 0.072 0.090 0.553 0.563 0.655 0.527 0.713
3.120 0.682 3903 317 0.081 0.077 0.086 0.073 0.090 0.559 0.569 0.663 0.531 0.721
3.130 0.681 3860 313 0.081 0.077 0.086 0.072 0.090 0.559 0.568 0.663 0.528 0.720
3.140 0.680 3810 312 0.082 0.077 0.086 0.073 0.091 0.560 0.569 0.664 0.529 0.721
3.150 0.679 3764 312 0.083 0.078 0.088 0.074 0.092 0.566 0.574 0.671 0.534 0.732
3.160 0.678 3703 311 0.084 0.079 0.089 0.075 0.094 0.573 0.580 0.677 0.541 0.739
3.170 0.677 3648 306 0.084 0.079 0.089 0.075 0.094 0.584 0.590 0.691 0.548 0.751
3.180 0.676 3583 298 0.083 0.078 0.088 0.074 0.093 0.583 0.590 0.692 0.548 0.754
3.190 0.675 3536 293 0.083 0.078 0.088 0.074 0.093 0.582 0.591 0.695 0.550 0.761
3.200 0.675 3523 292 0.083 0.078 0.088 0.074 0.093 0.574 0.577 0.676 0.538 0.734
3.210 0.674 3467 287 0.083 0.078 0.088 0.073 0.093 0.589 0.596 0.703 0.553 0.769
3.220 0.673 3434 286 0.083 0.078 0.088 0.074 0.093 0.596 0.604 0.711 0.561 0.779
3.230 0.672 3366 280 0.083 0.078 0.088 0.074 0.093 0.592 0.596 0.704 0.554 0.774
3.240 0.672 3344 279 0.083 0.078 0.088 0.074 0.093 0.595 0.599 0.709 0.557 0.776
3.250 0.671 3276 270 0.082 0.077 0.087 0.073 0.093 0.599 0.606 0.718 0.562 0.789
3.260 0.670 3217 266 0.083 0.078 0.088 0.073 0.093 0.603 0.611 0.724 0.565 0.796
3.270 0.669 3193 262 0.082 0.077 0.087 0.072 0.092 0.596 0.603 0.716 0.558 0.791
3.280 0.668 3135 259 0.083 0.077 0.088 0.073 0.093 0.602 0.610 0.726 0.564 0.794
3.290 0.667 3091 255 0.082 0.077 0.088 0.073 0.093 0.600 0.607 0.723 0.561 0.794
3.300 0.666 3039 251 0.083 0.077 0.088 0.073 0.093 0.602 0.608 0.727 0.561 0.799
3.310 0.666 2998 246 0.082 0.077 0.087 0.072 0.093 0.601 0.608 0.726 0.562 0.805
3.320 0.665 2975 247 0.083 0.078 0.088 0.073 0.094 0.606 0.611 0.733 0.565 0.810
3.330 0.664 2898 240 0.083 0.077 0.088 0.073 0.094 0.595 0.600 0.714 0.554 0.786
3.340 0.664 2886 239 0.083 0.077 0.088 0.073 0.094 0.596 0.600 0.717 0.555 0.786
3.350 0.662 2824 231 0.082 0.076 0.087 0.072 0.093 0.586 0.589 0.706 0.543 0.781
3.360 0.662 2784 228 0.082 0.076 0.087 0.072 0.093 0.588 0.592 0.711 0.546 0.788
3.370 0.661 2747 230 0.084 0.078 0.089 0.073 0.095 0.608 0.611 0.729 0.564 0.800
3.380 0.660 2713 229 0.084 0.079 0.090 0.074 0.096 0.617 0.620 0.744 0.572 0.816
3.390 0.659 2650 229 0.086 0.081 0.092 0.076 0.098 0.623 0.623 0.746 0.574 0.826
3.400 0.658 2618 228 0.087 0.081 0.093 0.076 0.099 0.632 0.634 0.762 0.584 0.844
3.410 0.658 2574 224 0.087 0.081 0.093 0.076 0.099 0.659 0.660 0.802 0.609 0.892
3.420 0.657 2539 224 0.088 0.082 0.094 0.077 0.100 0.680 0.682 0.827 0.624 0.921
3.430 0.656 2499 226 0.090 0.084 0.096 0.079 0.103 0.696 0.693 0.841 0.637 0.936
3.440 0.655 2460 228 0.093 0.087 0.099 0.081 0.105 0.710 0.711 0.861 0.656 0.969
3.450 0.654 2415 225 0.093 0.087 0.099 0.081 0.106 0.718 0.716 0.873 0.656 0.976
3.460 0.653 2379 220 0.092 0.086 0.099 0.081 0.105 0.718 0.716 0.874 0.657 0.976
3.470 0.653 2351 219 0.093 0.087 0.099 0.081 0.106 0.722 0.722 0.885 0.662 0.989
3.480 0.652 2309 214 0.093 0.086 0.099 0.081 0.105 0.723 0.720 0.883 0.659 0.993
3.490 0.651 2288 216 0.094 0.088 0.101 0.082 0.107 0.733 0.727 0.893 0.667 0.998
3.500 0.650 2247 207 0.092 0.086 0.098 0.080 0.105 0.725 0.721 0.888 0.659 1.007
3.510 0.650 2214 204 0.092 0.086 0.099 0.080 0.105 0.726 0.716 0.884 0.651 1.003
3.520 0.649 2188 201 0.092 0.085 0.098 0.080 0.105 0.728 0.720 0.892 0.656 1.001
3.530 0.648 2148 195 0.091 0.084 0.097 0.078 0.104 0.715 0.707 0.880 0.642 0.996
3.540 0.647 2123 194 0.091 0.085 0.098 0.079 0.105 0.731 0.722 0.901 0.653 1.017
