nu			f_nu
3.60985273766e+14 3.40315379997e-15
3.61068358054e+14 3.12420352327e-15
3.61151524103e+14 3.18073201892e-15
3.61234728472e+14 3.41452936772e-15
3.61317927641e+14 3.66192208348e-15
3.6140107801e+14 3.75033508716e-15
3.61484310246e+14 3.98699548329e-15
3.61567537221e+14 3.54419971693e-15
3.61650802528e+14 3.4349489526e-15
3.61734149842e+14 3.44980937688e-15
3.61817404579e+14 3.42219130678e-15
3.61900741336e+14 3.73875881948e-15
3.61984072783e+14 4.05389938649e-15
3.62067442615e+14 3.72574649178e-15
3.62150850858e+14 3.62358229455e-15
3.62234210003e+14 3.33601869442e-15
3.6231765132e+14 3.40695637473e-15
3.6240104347e+14 3.44123142873e-15
3.62484561675e+14 3.54064105867e-15
3.62567986836e+14 3.49022913543e-15
3.62651494275e+14 3.49014141098e-15
3.62734996302e+14 3.49917757062e-15
3.6281853679e+14 3.37352930378e-15
3.62902071838e+14 3.18637725769e-15
3.62985645361e+14 3.39169156474e-15
3.63069257385e+14 3.38138705464e-15
3.63152863947e+14 3.24461701686e-15
3.63236509023e+14 3.40748369742e-15
3.63320148609e+14 3.38694020519e-15
3.63403826722e+14 3.44490699347e-15
3.63487499316e+14 3.42095220706e-15
3.63571166359e+14 3.34700487225e-15
3.63654916039e+14 3.38445663626e-15
3.6373866018e+14 3.33557615953e-15
3.638224429e+14 3.27198306841e-15
3.63906175879e+14 3.36502352385e-15
3.63990035795e+14 3.4851934141e-15
3.64073845943e+14 3.3638064886e-15
3.64157694695e+14 3.17228233098e-15
3.64241493569e+14 3.447528897e-15
3.64325375293e+14 3.1101033428e-15
3.64409295661e+14 2.97892575073e-15
3.64493210383e+14 3.31721124587e-15
3.64577163762e+14 3.16798233426e-15
3.64661155822e+14 3.26632759999e-15
3.64745142216e+14 3.32957115136e-15
3.6482907851e+14 3.24261808183e-15
3.64913142279e+14 3.08240006014e-15
3.64997155921e+14 3.11406034261e-15
3.65081208257e+14 3.1445631863e-15
3.65165299313e+14 3.20996733261e-15
3.65249340116e+14 3.23590369758e-15
3.65333464132e+14 3.23703662599e-15
3.65417626908e+14 3.2302908638e-15
3.65501739347e+14 3.09308512317e-15
3.65585935099e+14 3.26516888441e-15
3.65670125048e+14 3.47079304819e-15
3.65754309159e+14 3.59537136107e-15
3.6583853204e+14 3.56826578305e-15
3.65922793719e+14 3.48283345302e-15
3.66007049537e+14 3.39412590363e-15
3.66091344164e+14 3.41087050437e-15
3.66175632903e+14 3.30210598679e-15
3.66260005209e+14 3.4364818154e-15
3.66344326872e+14 3.81928480753e-15
3.6642868737e+14 3.72277815294e-15
3.66513086729e+14 3.61071114449e-15
3.66597480148e+14 3.72011101849e-15
3.6668191244e+14 3.60031338109e-15
3.66766293892e+14 3.51638085418e-15
3.66850803972e+14 3.61227222776e-15
3.66935263182e+14 3.24941241569e-15
3.67019806224e+14 3.21929369043e-15
3.67104298326e+14 3.34306151924e-15
3.6718882934e+14 3.51797684704e-15
3.67273399291e+14 3.40867729503e-15
3.67357963193e+14 3.27610835669e-15
3.67442566044e+14 3.27275254385e-15
3.67527207873e+14 3.22601710466e-15
